countryiso3code,date,NY.GDP.MKTP.CD,FP.CPI.TOTL,SL.UEM.TOTL.ZS
BFA,2018-01-01,15890066221.2882,111.979764709293,4.695
BFA,2017-01-01,14106955615.3442,109.831522699898,4.66
BFA,2016-01-01,12833363045.3367,108.226524455215,4.594
BFA,2015-01-01,11832159315.6298,107.751296576491,4.468
BFA,2014-01-01,13943016076.7436,106.975893599335,4.254
BDI,2023-01-01,2642161668.92754,319.517907407394,0.93
BDI,2022-01-01,3338722827.65691,251.704878819603,0.919
BDI,2021-01-01,2775798697.46022,211.871226580912,1.11
BDI,2020-01-01,2649680261.44299,195.44497823506,1.03
BDI,2019-01-01,2576518879.82353,182.112339994344,1.053
BDI,2018-01-01,2667182199.51333,183.371685700859,1.157
BDI,2017-01-01,2723586962.84034,188.682529221908,1.258
BDI,2016-01-01,2644487776.50077,162.583720148134,1.356
BDI,2015-01-01,3104003546.26497,154.023568290146,1.444
BDI,2014-01-01,2705783329.80483,145.932087987576,1.572
CPV,2022-01-01,2303738020.15148,122.222274152969,12.272
CPV,2021-01-01,2051842609.64558,113.241195084123,13.906
CPV,2020-01-01,1821565613.68613,111.171020616435,14.66
CPV,2019-01-01,2252177124.32402,110.501606515952,12.118
CPV,2018-01-01,2205099506.99994,109.292107113842,12.17
CPV,2017-01-01,1996741539.95088,107.935364262011,12.24
CPV,2016-01-01,1849789985.99572,107.095292454784,12.075
CPV,2015-01-01,1749857620.35329,108.624526319136,11.905
CPV,2014-01-01,2041930125.42979,108.48221067765,11.67
KHM,2023-01-01,31772759998.8571,148.306623905508,0.239
KHM,2022-01-01,29504829319.3169,145.217175025789,0.247
KHM,2021-01-01,26961061151.7337,137.850836238126,0.396
KHM,2020-01-01,25872797891.7664,133.938838017668,0.172
KHM,2019-01-01,27089390032.798,130.113128034144,0.12
KHM,2018-01-01,24571753583.3935,127.633746767247,0.13
KHM,2017-01-01,22177200588.1826,124.570453245464,0.141
KHM,2016-01-01,20016747857.6367,121.044857661075,0.716
KHM,2015-01-01,18049954289.4721,117.497445574856,0.393
KHM,2014-01-01,16702610842.3529,116.076745197925,0.692
CMR,2023-01-01,47945510090.0529,141.818332882446,3.646
CMR,2022-01-01,43644068310.851,132.067998413642,3.687
CMR,2021-01-01,44993521774.066,124.302010149149,3.951
CMR,2020-01-01,40773241177.0505,121.540776745136,3.866
CMR,2019-01-01,39667757527.6578,118.648588290011,3.646
CMR,2018-01-01,39955552189.795,115.808046057299,3.619
CMR,2017-01-01,36098547058.7851,114.583313019794,3.581
CMR,2016-01-01,33814337040.7817,113.854180430792,3.534
CMR,2015-01-01,32210233021.4049,112.867503568736,3.52
CMR,2014-01-01,36386544715.2702,109.925634907972,3.534
CAN,2023-01-01,2140085567791.45,134.895535203205,5.366
CAN,2022-01-01,2161483369422.01,129.858328563251,5.28
CAN,2021-01-01,2007472181464.15,121.587006296508,7.527
CAN,2020-01-01,1655684730000.19,117.594447624499,9.657
CAN,2019-01-01,1743725183672.52,116.757298225529,5.69
CAN,2018-01-01,1725329192783.02,114.524899828277,5.837
CAN,2017-01-01,1649265644244.09,111.984831139096,6.426
CAN,2016-01-01,1527994741907.43,110.224670864339,7.038
CAN,2015-01-01,1556508816217.14,108.672009158557,6.945
CAN,2014-01-01,1805749878439.94,107.462793360046,7.023
CAF,2023-01-01,2555492085.24831,175.005796934209,6.286
CAF,2022-01-01,2382618615.01694,169.942960718886,6.337
